iteration,subset,tau,f2,precision,recall,fp_ctrl
1,"ic_left_abs_auc_activation,ic_left_auc_difference,ic_left_delta_mean,ic_left_delta_variance,ic_left_extrema_abs_slope,ic_left_extrema_line_length,ic_left_kurtosis_activation,ic_left_peak_amplitude,ic_left_total_band_power_delta,ic_right_abs_auc_activation,ic_right_auc_difference,ic_right_delta_mean,ic_right_delta_variance,ic_right_extrema_abs_slope,ic_right_extrema_line_length,ic_right_kurtosis_activation,ic_right_peak_amplitude,ic_right_total_band_power_delta,power_ic_left,power_ic_right",0.0,0.0,0.0,0.0,0.0
2,"ic_left_abs_auc_activation,ic_left_auc_difference,ic_left_delta_mean,ic_left_delta_variance,ic_left_extrema_abs_slope,ic_left_extrema_line_length,ic_left_kurtosis_activation,ic_left_peak_amplitude,ic_left_total_band_power_delta,ic_right_abs_auc_activation,ic_right_auc_difference,ic_right_delta_mean,ic_right_delta_variance,ic_right_extrema_abs_slope,ic_right_extrema_line_length,ic_right_kurtosis_activation,ic_right_peak_amplitude,ic_right_total_band_power_delta,power_ic_left,power_ic_right",0.6,0.48052831490891534,0.78202700237183,0.4487261098351601,0.19633825943384292
5,"power_ic_left,power_ic_right",0.6,0.6351740588443161,0.8012638013848168,0.6100243625897607,0.2802298850476147
6,"power_ic_left,power_ic_right",0.8,0.6553396418802213,0.7626750700280113,0.6362139721487339,0.36948275860747903
11,"abs_auc_activation,auc_difference,delta_mean,delta_variance,extrema_abs_slope,extrema_line_length,kurtosis_activation,peak_amplitude,power_epoch,total_band_power_delta",0.6,0.6985548794425923,0.7086353762446627,0.6975472279559264,0.4752216748585698
78,ic_right_extrema_abs_slope,0.8,0.7022755838418112,0.7456915792949519,0.6977256156060122,0.4005582922670059
80,"auc_difference,ic_right_extrema_abs_slope",0.6,0.7291827786898624,0.7326470173693156,0.7340325028345496,0.4564449917721272
81,"auc_difference,ic_right_extrema_abs_slope",0.8,0.7498745865406903,0.7045525846702316,0.7679755792656336,0.5449753694371037
738,"auc_difference,ic_left_peak_amplitude",0.8,0.7548898909653994,0.6801787549982061,0.7812180131988256,0.6371018062154178
819,"ic_left_auc_difference,ic_right_total_band_power_delta",0.8,0.7604080624142371,0.7820301495388924,0.7609370584644009,0.38133004924566705
1851,"extrema_line_length,ic_left_extrema_line_length,power_ic_right",0.8,0.7641731326694224,0.8053816847962046,0.7568108846701749,0.3391050902996119
2595,"ic_right_extrema_abs_slope,ic_right_extrema_line_length",0.8,0.788496425943037,0.7024539429802867,0.817360700061052,0.5906814449693006
4854,"delta_variance,ic_left_total_band_power_delta,peak_amplitude,power_ic_right",0.8,0.7891779385525199,0.7802134642712342,0.7953128470506148,0.3832019704286666
5073,"delta_variance,peak_amplitude,power_ic_right",0.8,0.7901537712728575,0.7921523120235188,0.8007592522603716,0.40297208537054435
8286,"ic_right_extrema_abs_slope,ic_right_extrema_line_length,ic_right_total_band_power_delta",0.8,0.7929168284131248,0.7328681670296577,0.81302497310812,0.5181280787979292
