f2,precision_task,recall_task,f1_task,accuracy,fp_rate_control,ari,bic,silhouette,tau,subset,n_feat,iter
0.0,0.0,0.0,0.0,0.3697343401712868,0.0,0.055347401906260675,1888.0501174411274,0.1744036843938081,0.0,"ic_left_abs_auc_activation,ic_left_auc_difference,ic_left_delta_mean,ic_left_delta_variance,ic_left_extrema_abs_slope,ic_left_extrema_line_length,ic_left_kurtosis_activation,ic_left_peak_amplitude,ic_left_total_band_power_delta,ic_right_abs_auc_activation,ic_right_auc_difference,ic_right_delta_mean,ic_right_delta_variance,ic_right_extrema_abs_slope,ic_right_extrema_line_length,ic_right_kurtosis_activation,ic_right_peak_amplitude,ic_right_total_band_power_delta,power_ic_left,power_ic_right",20,1
0.48052831490891534,0.78202700237183,0.4487261098351601,0.5481963802787602,0.5662416766248973,0.19633825943384292,0.055347401906260675,1888.0501174411274,0.1744036843938081,0.6,"ic_left_abs_auc_activation,ic_left_auc_difference,ic_left_delta_mean,ic_left_delta_variance,ic_left_extrema_abs_slope,ic_left_extrema_line_length,ic_left_kurtosis_activation,ic_left_peak_amplitude,ic_left_total_band_power_delta,ic_right_abs_auc_activation,ic_right_auc_difference,ic_right_delta_mean,ic_right_delta_variance,ic_right_extrema_abs_slope,ic_right_extrema_line_length,ic_right_kurtosis_activation,ic_right_peak_amplitude,ic_right_total_band_power_delta,power_ic_left,power_ic_right",20,2
0.48052831490891534,0.78202700237183,0.4487261098351601,0.5481963802787602,0.5662416766248973,0.19633825943384292,0.055347401906260675,1888.0501174411274,0.1744036843938081,0.8,"ic_left_abs_auc_activation,ic_left_auc_difference,ic_left_delta_mean,ic_left_delta_variance,ic_left_extrema_abs_slope,ic_left_extrema_line_length,ic_left_kurtosis_activation,ic_left_peak_amplitude,ic_left_total_band_power_delta,ic_right_abs_auc_activation,ic_right_auc_difference,ic_right_delta_mean,ic_right_delta_variance,ic_right_extrema_abs_slope,ic_right_extrema_line_length,ic_right_kurtosis_activation,ic_right_peak_amplitude,ic_right_total_band_power_delta,power_ic_left,power_ic_right",20,3
0.0,0.0,0.0,0.0,0.3697343401712868,0.0,0.13505359310013393,340.24914378374774,0.37985813606649504,0.0,"power_ic_left,power_ic_right",2,4
0.6351740588443161,0.8012638013848168,0.6100243625897607,0.680721239297182,0.6484518483552943,0.2802298850476147,0.13505359310013393,340.24914378374774,0.37985813606649504,0.6,"power_ic_left,power_ic_right",2,5
0.6553396418802213,0.7626750700280113,0.6362139721487339,0.6884509247498756,0.6360954191860397,0.36948275860747903,0.13505359310013393,340.24914378374774,0.37985813606649504,0.8,"power_ic_left,power_ic_right",2,6
0.0,0.0,0.0,0.0,0.3697343401712868,0.0,0.034822117561711614,204.5174978521856,0.6154494640926153,0.0,power_epoch,1,7
0.47869683106191224,0.700142938822184,0.45758734773381404,0.5202097732444374,0.5549278528521009,0.3319376026151645,0.034822117561711614,204.5174978521856,0.6154494640926153,0.6,power_epoch,1,8
0.4974841763649208,0.6717919799498746,0.482783033404076,0.5267889868788724,0.5427908029101729,0.4166502462903153,0.034822117561711614,204.5174978521856,0.6154494640926153,0.8,power_epoch,1,9
0.0,0.0,0.0,0.0,0.3697343401712868,0.0,0.03666353046177334,759.7858018137247,0.18920423477038578,0.0,"abs_auc_activation,auc_difference,delta_mean,delta_variance,extrema_abs_slope,extrema_line_length,kurtosis_activation,peak_amplitude,power_epoch,total_band_power_delta",10,10
